1.0,-0.4474,0.4101,0.7721,0.6051,-0.4475,0.5264,0.4807,0.8597,0.4293,
-0.4474,1.0,0.1268,-0.6992,-0.4336,0.3258,-0.0067,0.171,-0.3565,0.1032,
0.4101,0.1268,1.0,0.1707,0.3037,-0.1857,0.1986,0.18,0.4449,0.1425,
0.7721,-0.6992,0.1707,1.0,0.7047,-0.5796,0.3971,0.2177,0.7672,0.2609,
0.6051,-0.4336,0.3037,0.7047,1.0,-0.915,0.5047,0.1579,0.9092,0.3294,
-0.4475,0.3258,-0.1857,-0.5796,-0.915,1.0,-0.7235,-0.0326,-0.7887,-0.1837,
0.5264,-0.0067,0.1986,0.3971,0.5047,-0.7235,1.0,0.203,0.6171,0.2004,
0.4807,0.171,0.18,0.2177,0.1579,-0.0326,0.203,1.0,0.3947,0.1843,
0.8597,-0.3565,0.4449,0.7672,0.9092,-0.7887,0.6171,0.3947,1.0,0.4529,
0.4293,0.1032,0.1425,0.2609,0.3294,-0.1837,0.2004,0.1843,0.4529,1.0,
